ro;komponen;kegiatan;mak;detail;modal;week;01-Jan;02-Feb;03-Mar;04-Apr;05-May;06-Jun;07-Jul;08-Aug;09-Sep;10-Oct;11-Nov;12-Dec
4130.AFA;4130.AFA.001.051;051.A - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Keamanan Pangan;522151 - Belanja Jasa Profesi;Honor Narasumber 2 OR;RM;4;;;;;;;;;;12000000;;
4130.AFA;4130.AFA.001.051;051.A - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Keamanan Pangan;522151 - Belanja Jasa Profesi;Honor Narasumber 4 OR;RM;1;;;;;;;;;;12000000;;
4130.AFA;4130.AFA.001.051;051.A - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Keamanan Pangan;522151 - Belanja Jasa Profesi;Honor Narasumber 4 OR;RM;2;;;12000000;12000000;12000000;12000000;12000000;12000000;;12000000;12000000;24000000
4130.AFA;4130.AFA.001.051;051.A - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Keamanan Pangan;522151 - Belanja Jasa Profesi;Honor Narasumber 4 OR;RM;3;;;12000000;12000000;12000000;12000000;12000000;12000000;12000000;12000000;24000000;
4130.AFA;4130.AFA.001.051;051.A - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Keamanan Pangan;522151 - Belanja Jasa Profesi;Honor Narasumber 4 OR;RM;4;;;24000000;;;;;;;12000000;12000000;
4130.AFA;4130.AFA.001.051;051.A - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Keamanan Pangan;524111 - Belanja Perjalanan Dinas Biasa;Kunjungan Sarana Produksi Jakarta;RM;1;;;;;;;;;;;;
4130.AFA;4130.AFA.001.051;051.A - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Keamanan Pangan;524111 - Belanja Perjalanan Dinas Biasa;Kunjungan Sarana Produksi Jakarta;RM;2;;;;;2250000;;;;;;;
4130.AFA;4130.AFA.001.051;051.A - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Keamanan Pangan;524111 - Belanja Perjalanan Dinas Biasa;Kunjungan Sarana Produksi Jakarta;RM;3;;;;;;2400000;;;;;;
4130.AFA;4130.AFA.001.051;051.A - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Keamanan Pangan;524111 - Belanja Perjalanan Dinas Biasa;Kunjungan Sarana Produksi Jakarta;RM;4;;;;;;;;;;;;
4130.AFA;4130.AFA.001.051;051.A - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Keamanan Pangan;524114 - Belanja Perjalanan Dinas Paket Meeting Dalam Kota;Pembahasan;RM;1;;;;;;;;;;;;
4130.AFA;4130.AFA.001.051;051.A - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Keamanan Pangan;524114 - Belanja Perjalanan Dinas Paket Meeting Dalam Kota;Pembahasan;RM;2;;;4500000;12990000;;;;;;;;
4130.AFA;4130.AFA.001.051;051.A - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Keamanan Pangan;524114 - Belanja Perjalanan Dinas Paket Meeting Dalam Kota;Pembahasan;RM;3;;;3380000;;;;;;;;;
4130.AFA;4130.AFA.001.051;051.A - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Keamanan Pangan;524114 - Belanja Perjalanan Dinas Paket Meeting Dalam Kota;Pembahasan;RM;4;;;;;;;;;;;;
4130.AFA;4130.AFA.001.051;051.A - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Keamanan Pangan;524114 - Belanja Perjalanan Dinas Paket Meeting Dalam Kota;Workshop;RM;1;;;;;;;;;;;;
4130.AFA;4130.AFA.001.051;051.A - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Keamanan Pangan;524114 - Belanja Perjalanan Dinas Paket Meeting Dalam Kota;Workshop;RM;2;;;;;;;;;;;4500000;
4130.AFA;4130.AFA.001.051;051.A - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Keamanan Pangan;524114 - Belanja Perjalanan Dinas Paket Meeting Dalam Kota;Workshop;RM;3;;;;;;;;;;;17320000;
4130.AFA;4130.AFA.001.051;051.A - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Keamanan Pangan;524114 - Belanja Perjalanan Dinas Paket Meeting Dalam Kota;Workshop;RM;4;;;;;;;;;;3900000;;
4130.AFA;4130.AFA.001.051;051.A - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Keamanan Pangan;524119 - Belanja Perjalanan Dinas Paket Meeting Luar Kota;Pembahasan;RM;1;;;;;10500000;;;;;;10500000;
4130.AFA;4130.AFA.001.051;051.A - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Keamanan Pangan;524119 - Belanja Perjalanan Dinas Paket Meeting Luar Kota;Pembahasan;RM;2;;;;;2730000;15000000;;;;;2730000;
4130.AFA;4130.AFA.001.051;051.A - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Keamanan Pangan;524119 - Belanja Perjalanan Dinas Paket Meeting Luar Kota;Pembahasan;RM;3;;;;;;;;;;;15000000;
4130.AFA;4130.AFA.001.051;051.A - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Keamanan Pangan;524119 - Belanja Perjalanan Dinas Paket Meeting Luar Kota;Pembahasan;RM;4;;;;;;;;;;;;
4130.AFA;4130.AFA.001.051;051.A - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Keamanan Pangan;524119 - Belanja Perjalanan Dinas Paket Meeting Luar Kota;Finalisasi;RM;1;;;;;;;;;;;;
4130.AFA;4130.AFA.001.051;051.A - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Keamanan Pangan;524119 - Belanja Perjalanan Dinas Paket Meeting Luar Kota;Finalisasi;RM;2;;;;;;;;;;;;
4130.AFA;4130.AFA.001.051;051.A - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Keamanan Pangan;524119 - Belanja Perjalanan Dinas Paket Meeting Luar Kota;Finalisasi;RM;3;;;;;;;;;;;;
4130.AFA;4130.AFA.001.051;051.A - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Keamanan Pangan;524119 - Belanja Perjalanan Dinas Paket Meeting Luar Kota;Finalisasi;RM;4;;;;;;;30000000;49320000;15600000;;;
4130.AFA;4130.AFA.001.051;051.B - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Pangan Olahan Tertentu;521211 - Belanja Bahan;Makan Siang dan Snack;RM;1;;;1547000;1547000;;1547000;1340400;;;1340400;1340400;1065000
4130.AFA;4130.AFA.001.051;051.B - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Pangan Olahan Tertentu;521211 - Belanja Bahan;Makan Siang dan Snack;RM;2;;;1547000;1547000;;1547000;1340400;;;1340400;1340400;
4130.AFA;4130.AFA.001.051;051.B - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Pangan Olahan Tertentu;521211 - Belanja Bahan;Makan Siang dan Snack;RM;3;;;1547000;3094000;;3094000;1340400;;;1340400;1340400;
4130.AFA;4130.AFA.001.051;051.B - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Pangan Olahan Tertentu;521211 - Belanja Bahan;Makan Siang dan Snack;RM;4;;;;;;3094000;1340400;;;;;
4130.AFA;4130.AFA.001.051;051.B - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Pangan Olahan Tertentu;521211 - Belanja Bahan;Penjilidan dan Pelaporan;RM;1;;;;;;;;;;;;482000
4130.AFA;4130.AFA.001.051;051.B - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Pangan Olahan Tertentu;521211 - Belanja Bahan;Penjilidan dan Pelaporan;RM;2;;;;;;;;;;;;
4130.AFA;4130.AFA.001.051;051.B - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Pangan Olahan Tertentu;521211 - Belanja Bahan;Penjilidan dan Pelaporan;RM;3;;;;;;;;;;;;
4130.AFA;4130.AFA.001.051;051.B - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Pangan Olahan Tertentu;521211 - Belanja Bahan;Penjilidan dan Pelaporan;RM;4;;;;;;;;;;;;
4130.AFA;4130.AFA.001.051;051.B - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Pangan Olahan Tertentu;521213 - Belanja Honor Output Kegiatan;Honor Tim Pelaksana Konsultasi Publik;RM;1;;;;;;;;;;;;
4130.AFA;4130.AFA.001.051;051.B - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Pangan Olahan Tertentu;521213 - Belanja Honor Output Kegiatan;Honor Tim Pelaksana Konsultasi Publik;RM;2;;;;;;;;;;;;
4130.AFA;4130.AFA.001.051;051.B - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Pangan Olahan Tertentu;521213 - Belanja Honor Output Kegiatan;Honor Tim Pelaksana Konsultasi Publik;RM;3;;;2050000;;;2050000;;;;2050000;;
4130.AFA;4130.AFA.001.051;051.B - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Pangan Olahan Tertentu;521213 - Belanja Honor Output Kegiatan;Honor Tim Pelaksana Konsultasi Publik;RM;4;;;;;;;;;;;;
4130.AFA;4130.AFA.001.051;051.B - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Pangan Olahan Tertentu;522151 - Belanja Jasa Profesi;Honor Narasumber Pembahasan;RM;1;;;;16000000;;8000000;8000000;;;16000000;;
4130.AFA;4130.AFA.001.051;051.B - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Pangan Olahan Tertentu;522151 - Belanja Jasa Profesi;Honor Narasumber Pembahasan;RM;2;;;16000000;8000000;8000000;;8000000;8000000;8000000;8000000;;
4130.AFA;4130.AFA.001.051;051.B - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Pangan Olahan Tertentu;522151 - Belanja Jasa Profesi;Honor Narasumber Pembahasan;RM;3;;;16000000;;;;;;;16000000;15000000;
4130.AFA;4130.AFA.001.051;051.B - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Pangan Olahan Tertentu;522151 - Belanja Jasa Profesi;Honor Narasumber Pembahasan;RM;4;;;;;;;;;;;;
